run_id,NSE on Flow,NSE on Soil,KGE on Flow,KGE on Soil
0,-1.6136303279456912,-7.120728799482212,-0.2524346984389212,-0.4628528728771495
1,-103.02047426646084,-20.324955199904874,-17.63865201681095,-0.9203263007572196
2,-0.73939033488404,-15.45689274247697,-0.24487143166103875,-0.7708235058298614
3,-6.154631965796641,0.10270042631965126,-3.5623642858450806,0.007067160835949826
4,-0.46900310638756726,-10.635832357297119,-0.31008399637907313,-0.7012052896197598
5,-0.6789165120732572,-8.304035753865854,-0.2070371270981286,-0.6119092811576234
6,-9.203708732614947,-1.2701487237511135,-1.4327782231184156,0.11433868448132023
7,-4.891672350745276,-11.246165124469993,-1.342917127497489,-0.6304331459095764
8,-0.31730766727558235,-35.384134654230586,-0.36065297019981046,-1.3704018036422698
9,-8.297537669595147,-17.17846909706221,-1.1733236252859554,-0.7962054289629019
10,-43.80888932262096,-3.4478771159412798,-4.833725200018129,0.01441079008779389
11,-16.756700005116627,-2.1640329409229677,-2.3751266595165075,0.047171948794200946
12,-140.72312464983852,-1.0111373241914818,-22.35728082450072,0.13030516553818206
13,-130.2533998094426,-1.7627665508019472,-19.762013155089008,0.042191824739522765
14,-8.712663182578144,-2.6014211251792387,-1.270394126665491,-0.01681024165632672
15,-17.473205270641227,-1.3667661900299302,-2.4787284871813866,0.08599029463963881
16,-1491.9589916904206,-10.00687033521349,-93.35632648399347,-0.658371167013728
17,-1791.8685765045134,-9.935657636543935,-102.34407826933256,-0.6455275308540485
18,-14.222372051300278,-0.9225349672368388,-2.210731317268019,0.13819986021362773
19,-53.61846075802502,-0.7503864735091557,-5.938924730311752,0.06109607988516297
20,-179.77853798875157,-4.609128511868092,-15.133871267920306,-0.4545667523652457
21,-1.578203417972222,-16.73859902619624,-0.2920311722738831,-0.7622127706771447
22,-566.5141968354827,-10.201353042670124,-41.10852916530866,-0.6595464545711986
23,-177.05540756740362,-9.22282870511639,-23.313499566693757,-0.6377856875217378
24,-32.16662300910104,-3.8341500811461797,-3.8370451472516045,-0.163527386424559
25,-0.3690561768084568,-20.035717896500504,-0.32580242041300256,-1.0243766522400906
26,-0.27272914274551985,-12.138880982649201,-0.3829044282103047,-0.7733565986408166
27,-0.08516326718898282,1.0,-0.7477921423915455,nan
28,-39.233056705365776,-2.4122758789414283,-4.45519905208446,-0.01976587167096655
29,-5.112979687881226,-0.6292737932732111,-0.8729269210366803,0.1633353473014364
30,-26.44391529229875,0.05249990430795015,-3.6895417635312766,0.15208931614336618
31,-0.3489338665908164,-29.63226662542502,-0.3496168676288798,-1.152774981894828
32,-3.6503475267381944,-3.750641905407309,-0.3674490748027275,-0.31848976747971625
33,-59.17249786597531,-2.0993122750698863,-5.907198776398373,0.08500783383711796
34,-14.537824245425663,-0.21791915066208856,-2.372098990223013,0.16404823558732096
