run_id,bb,satdk,satpsi,slop,smcmax,wltsmc,max_gw_storage,Cgw,expon,K_nash,refkdt,trigger_z_fact,alpha_fc,K_lf
0,7.422782653906588,0.0004942951724594003,0.3818125698174329,0.5510199883692586,0.632018205873043,0.058945885604102015,157.86833021441095,1.7638176414117732,0.07319406343347634,0.8739360932063487,0.9615140170066702,0.5309408146598436,0.20325089192089651,0.587811260291368
1,6.519150330285241,0.0004190138155444254,0.7405811451807633,0.6042639034022679,0.8672751990674393,0.10445386964750278,137.78266556131535,0.31293875868308113,0.07214170868393671,0.5587383142069332,3.610207900234569,0.34031354127043023,0.309054007186693,0.9216550758990097
2,13.016659296078812,0.00036140453868435945,0.2936432254549899,0.1655188515038481,0.73744263745064,0.09090345307271216,175.32867769381903,1.434141893305518,0.06745091909895523,0.5977182623645036,2.60914237980261,0.5242192578150323,0.2178722117310397,0.5857162251853685
3,2.956792992429003,0.0005879229028330815,0.5486876304002336,0.7006639020184284,0.2814832793031873,0.13518263243252843,65.34084823009198,0.3485290683437722,0.07063911894952173,0.8343970413170251,3.724844552857739,0.28743238360830325,0.27575162820327126,0.004996250215367252
4,17.5337925429279,0.00027347455333689616,0.18820101583677712,0.9090766844051362,0.7693680960399428,0.010655716989512865,174.86956809509564,1.7109744252018986,0.09652757994531186,0.9178364752440952,3.204819434145524,0.3894797941400351,0.28145402596928387,0.30395981360279684
5,13.76025736425288,0.0005085735664785848,0.671795326382735,0.4069302592440823,0.6874928994496036,0.0016538209431818875,148.65498562104983,1.2849185889356338,0.05376645873487698,0.7492532430422062,3.018817197877282,0.564773842224465,0.3186658472481354,0.14416797325185082
6,10.84006369844992,0.000548569551604867,0.6658509549311276,0.40220622676656126,0.2924343736260504,0.04608162610384688,224.1027341759754,1.4186266534945804,0.08158596611349424,0.06341629216559558,1.0257775268482678,0.7416054582577463,0.2836616691778207,0.7654894097084729
7,18.450842226162393,0.0005492150990150736,0.1494492036380986,0.44307965750086453,0.642816375194008,0.07309457787678096,203.32152908808342,1.0840338227783053,0.05574738588594691,0.36299303867241717,2.9352646768783712,0.6772715861927427,0.13753397449096255,0.7126661480859379
8,8.159520085147683,0.00048254538159587894,0.47820034033878867,0.4131187632678862,0.9862237024311473,0.06862197310467318,76.44738882717235,1.2189453219963677,0.05298110620320446,0.5352233610897534,1.6180261207022584,0.5304093180887464,0.11854459562928643,0.01280075820959219
9,6.682986630372097,6.480976412243995e-05,0.27303087390715597,0.15607990383747886,0.9637381061847282,0.07291555787452214,249.74218741267225,1.2694587755308577,0.09865011025212292,0.4842045446359122,0.1114492445998796,0.40375663091838176,0.17151198335964676,0.23167845660830164
10,17.252262681208308,0.0002536208589909441,0.42408290293877493,0.41150157937474174,0.2171038800667585,0.0021014350090552097,167.328017213767,1.7407158310141158,0.08681655616821513,0.8026355892304701,1.6593713516815178,0.5744174083726504,0.2212117588322811,0.9072471320315483
11,1.500450248040588,0.00020556673512266187,0.558130166163588,0.4487022178856481,0.8907675019187239,0.09917579614408452,189.37811263536844,1.6066331212651581,0.05472928492639459,0.7549876937641101,0.5352100803824732,0.6060608862248984,0.2639034820775375,0.4207512626769968
12,8.553062713489036,0.0005445133251618987,0.2626447354071762,0.9509848603092831,0.37166839088708925,0.06780610318839908,124.02458850675605,0.28058682945612196,0.06556335190898144,0.3860217043322582,0.14833593837742906,0.25805933183402974,0.26006688274413614,0.458001908855489
13,2.302864058095495,9.443311636310067e-05,0.48915391382601425,0.6737049263667502,0.7130879528142356,0.07063389787377512,135.24605575562924,0.379935196030063,0.057129255998216895,0.9532046969821673,3.3408302993046317,0.5026891219350471,0.2880226342676687,0.2809678553314429
14,17.893063920251716,0.0003052487825214898,0.11355794839558239,0.6104591829591204,0.4377556816421043,0.08755988047270548,90.58079523833875,1.7171700929591074,0.07102816364685346,0.5482307311293456,0.34841027116253004,0.4175587587948353,0.31812788389093716,0.2917974764306832
15,21.07908490972269,7.740852066757302e-05,0.6667169498414234,0.17562262159310152,0.3320843601374619,0.06947674831013201,85.67459505737556,0.6768040237066306,0.0935372793027479,0.029101661292182213,0.9304196183299563,0.695692112137561,0.2962460852961142,0.3066325935388709
16,0.45344535683996356,0.0006783615208306276,0.3645650339096423,0.48892229587400304,0.4769960962952339,0.13855641895798362,193.3473373920658,0.30871170376036966,0.060157703477335525,0.9673414409235437,1.1622655342457824,0.36520634341321107,0.2816537621230355,0.13587471059971068
